DATE,VACHAR6POP
1970-01-01,6.158
1971-01-01,6.300
1972-01-01,6.300
1973-01-01,6.600
1974-01-01,6.700
1975-01-01,6.500
1976-01-01,6.500
1977-01-01,6.600
1978-01-01,6.800
1979-01-01,6.700
1980-01-01,6.692
1981-01-01,6.739
1982-01-01,6.659
1983-01-01,6.527
1984-01-01,6.543
1985-01-01,6.530
1986-01-01,6.422
1987-01-01,6.287
1988-01-01,6.321
1989-01-01,6.282
1990-01-01,6.300
1991-01-01,6.253
1992-01-01,6.327
1993-01-01,6.473
1994-01-01,6.514
1995-01-01,6.598
1996-01-01,6.650
1997-01-01,6.711
1998-01-01,6.873
1999-01-01,6.910
2000-01-01,6.931
2001-01-01,6.952
2002-01-01,7.028
2003-01-01,7.087
2004-01-01,7.041
2005-01-01,7.047
2006-01-01,7.141
2007-01-01,7.135
2008-01-01,7.219
2009-01-01,7.206
2010-01-01,7.255
2011-01-01,7.2
2012-01-01,7.123
2013-01-01,7.068
2014-01-01,6.975
2015-01-01,7.043
2016-01-01,7.026
2017-01-01,7.024
2018-01-01,6.983
2019-01-01,6.969
2020-01-01,6.744
2021-01-01,6.631
2022-01-01,6.605
